Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-2.3;1.61138;2.37493;63.15789;47.36842;55.26316
Aston Villa;2.2475;3.62737;6.3073;52.63158;63.15789;57.89474
Burnley;-7.7075;3.87263;6.94862;36.84211;57.89474;47.36842
Chelsea;0.2625;1.43507;1.85474;78.94737;57.89474;68.42105
Crystal Palace;13.4;3.20046;5.7975;42.10526;36.84211;39.47368
Everton;-11.83375;2.25546;3.54257;36.84211;68.42105;52.63158
Hull;-13.17875;3.16681;6.32836;42.10526;52.63158;47.36842
Leicester;-6.41625;3.07658;5.88046;52.63158;63.15789;57.89474
Liverpool;-4.12;1.79862;2.51513;52.63158;47.36842;50
Man City;-1.04125;1.45454;1.9123;73.68421;57.89474;65.78947
Man United;-1.455;1.64592;2.32803;73.68421;31.57895;52.63158
Newcastle;-6.0875;3.01507;5.32033;47.36842;57.89474;52.63158
QPR;-14.075;3.83914;7.11507;63.15789;84.21053;73.68421
Southampton;0.4425;2.11434;3.37737;63.15789;57.89474;60.52632
Stoke;21.155;2.81664;5.24336;42.10526;42.10526;42.10526
Sunderland;-14.54125;3.58454;5.67967;36.84211;36.84211;36.84211
Swansea;19.8525;2.6952;4.89783;52.63158;52.63158;52.63158
Tottenham;5.0025;2.17868;3.26803;47.36842;57.89474;52.63158
West Brom;3.80625;3.02224;5.41382;47.36842;42.10526;44.73684
West Ham;-4.9;2.87901;4.87796;63.15789;52.63158;57.89474
